cli-help	The new flag appears in the command's --help/usage text with a one-line description
cli-compat	Existing invocations without the new flag behave exactly as before
cli-noval	A flag that needs a value fails with a clear usage error when the value is missing
sh-syntax	Every changed shell script passes bash -n
sh-portable	Shell changes work on macOS bash 3.2 and BSD tools (no GNU-only flags)
sh-pipefail	No `echo "$big" | grep -q` under pipefail; use here-strings
doc-links	Every link and path you add or change resolves
doc-commands	Every command shown in the docs is copy-paste runnable against the current code
ci-pin	Actions are pinned to a major version or SHA, and the workflow still passes on every matrix entry
ci-matrix	The change is verified on every OS/runtime in the CI matrix
auth-expiry	Session and token lifetimes come from one configured value, not hard-coded constants
auth-refresh	Token refresh happens before expiry and handles concurrent refreshes safely
auth-skew	Expiry checks tolerate client/server clock skew
rl-429	Rejected requests get HTTP 429 with a Retry-After header
rl-store	Rate-limit counters live in a store shared by every instance (not per-process memory)
rl-burst	The limit is enforced per API key and handles bursts at window boundaries
mig-reversible	The migration has a tested down/rollback path or a documented restore plan
mig-backup	A backup or dry-run step runs before any destructive statement
mig-batch	Large deletes/updates run in batches with progress logging
tz-utc	Timestamps are stored in UTC and converted to the user's time zone only for display
tz-dst	Date logic is tested across DST transitions and at UTC+10/UTC-10 offsets
perf-baseline	Before and after timings come from the same repeatable measurement
perf-profile	The optimisation targets the dominant cost shown by a profile
flaky-isolation	Tests share no mutable state and pass in random order
flaky-time	Tests do not depend on wall-clock time or sleeps; time is injected or faked
ui-responsive	The layout works at 360px, 768px and 1280px widths
ui-contrast	Text and controls meet WCAG AA contrast (4.5:1 for body text)
ui-keyboard	Every interactive element is reachable and operable by keyboard
dep-breaking	The upstream changelog's breaking changes are checked against this codebase
dep-lockfile	Lockfiles are regenerated by the package manager, not edited by hand
sec-secrets	No secrets, tokens or credentials are logged, committed or printed
sec-least	New credentials or permissions use the least privilege that works
ren-all	Every reference is updated: code, tests, docs, config and scripts
ren-compat	A deprecated alias keeps the old name working if external callers exist
env-doc	The new environment variable is documented with its default and effect
env-unset	Behaviour when the variable is unset or empty is defined and tested
json-schema	The JSON output has a stable, documented shape with no extra lines on stdout
json-exit	Exit codes stay meaningful in JSON mode
csv-escape	CSV fields with commas, quotes and newlines are escaped (RFC 4180) and UTF-8 encoded
csv-large	Exports stream rows instead of loading the whole dataset into memory
log-noise	New logging is off by default or goes to stderr, never mixed into stdout output
